IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;BESOIN_RES_NUM;DATE_DECLARATION_OPERATEUR
B2F System;B2FS;7,95001E+13;Epinal;PARC D ACTIVITE DE REFFYE  BP 165 88001 EPINAL   ;0;30/10/2019 00:00
B2YOU S.R.L.;B2YO; ;13450720159 MILANO; VIALE COL DI LANA, 12  20136 MILANO   ITALIE;0;14/06/2010 00:00
BA Info;BAIN;828958058;Versailles; 5 RUE PAVLOV  78190 TRAPPES   ;0;26/11/2020 00:00
Bad Omen Telecom;BADO; ;W931024129 Préfecture Seine-Saint-Denis; 46 RUE HOCHE  93100 MONTREUIL   ;0;23/03/2021 00:00
Baionet;BAIO;8,33606E+13;Bayonne;APPARTEMENT 39 3 AVENUE DE JOUADIN  64100 BAYONNE   ;0;10/01/2018 00:00
BANGA B@SE;BANG;5,23812E+13;MAMOUDZOU; RUE DE LA MAIRIE  97620 CHIRONGUI   ;0;26/03/2012 00:00
Barco diffusions;BARC;7,51553E+13;Carcassonne; 32 BOULEVARD JEAN BOURREL  11500 QUILLAN   ;0;11/12/2018 00:00
Barna consulting S.A.S;BARN;8,28699E+13;Fort-de-France;LOT.LES FILAOS-QUARTIER MORNE LAVALEUR   97224 DUCOS   ;0;21/03/2018 00:00
BATTLEFIELD ENTERTAINMENT INTL;SOBA;5,19704E+13; ; 22 BOULEVARD GAMBETTA  92130 ISSY-LES-MOULINEAUX   ;0;04/05/2010 00:00
Baylink;BAYL;8,32546E+13;Antibes;LE PARC D ARTIGNY-CHEZ YANN LE MERRER 256 BOULEVARD ANDRE BRETON  06600 ANTIBES   ;0;27/02/2019 00:00
Bazile;BAZI;4,84661E+13;Aix;PARC DU GOLF 11 B RUE GUILIBERT DE LA LAUZIÈRE CS80483 13592 AIX EN PROVENCE  CEDEX 3 ;1;11/02/2009 00:00
Bbix Europe B.V.;BBIX; ;859306185 registered under Amsterdam, Netherlands; HERENGRACHT 420  1017BZ AMSTERDAM   PAYS-BAS;0;18/12/2018 00:00
BBS;BBSI;3,99036E+13;CHARTRES; 5 RUE FACEL VEGA  28100 DREUX   ;1;05/07/2013 00:00
BCB CONSEILS;BCBL;7,52133E+13;SAINT-ETIENNE; 6 RUE DE MOLINA  42000 SAINT-ETIENNE   ;0;12/07/2013 00:00
BCF;BCFB;8,31108E+13;Nice;C/O NICE CITY BUSINESS CENTRE 37/41 BD DUBOUCHAGE  06000 NICE   ;0;18/04/2018 00:00
BCOM Net;BCMN;8,87714E+13;NIMES; 830 ROUTE D ORANGE  30650 ROCHEFORT DU GARD   ;0;11/02/2021 00:00
BD MULTI-MEDIA;BDMA;3,34518E+13;Paris; 16 CITE JOLY  75011 PARIS   ;1;17/11/2004 00:00
BDT;BDTT;8,33942E+13;Perpignan; 70 AVENUE DE MILAN  66000 PERPIGNAN   ;0;14/05/2018 00:00
BE ACTIV'IT;BEAC;7,50661E+13;ARRAS; 6 RUE DU GENERAL BARBOT  62223 ST LAURENT BLANGY   ;0;08/02/2021 00:00
Be2be telecom;BE2B;7,90066E+13;Nanterre; 5 RUE DU 4 SEPTEMBRE  92500 RUEIL-MALMAISON   ;0;07/07/2019 00:00
BEA informatique;BEAI;3,39491E+13;Nîmes; 1965 CHEMIN DE TRESPEAUX  30100 ALES   ;0;11/04/2014 00:00
BeAssist France;BEFR;8,84025E+13;Paris; 128 RUE LA BOETIE  75008 PARIS   ;0;17/06/2020 00:00
BEAUVAISJulien;JBOV; ;Personne physique;APPART. 18 5 ALLEE JOSEPH JAUNAY  37540 SAINT CYR SUR LOIRE   ;0;20/05/2016 00:00
Becloud solutions Italia S.R.L.;BESI; ;09439570962 Monza Brianza; 6 VIA MOLISE  20831 SEREGNO   ITALIE;0;22/02/2019 00:00
Becom;BECM;4,4185E+13;Toulouse;LOT L 12 AVENUE CHARLES DE GAULLE  31130 BALMA   ;0;20/03/2017 00:00
Bee Invest 17;BI17;7,51785E+13;Versailles; 19 RUE STEPHENSON  78180 MONTIGNY LE BRETONNEUX   ;0;06/11/2017 00:00
Bee Technology;BEET;5,07715E+13;Saint Denis;STE CLOTILDE 43 RUE DES JACINTHES  97490 ST DENIS   ;1;09/01/2009 00:00
BELGACOM INTERNATIONAL CARRIER SERVICES FRANCE SAS;SWIS;4,22588E+13;Paris; 3 RUE DU COLONEL MOLL  75017 PARIS   ;0;15/10/1999 00:00
Bell corporation;BECO;8,21353E+13;Amiens; 43 AVENUE PAUL DOUMER  80410 CAYEUX SUR MER   ;0;08/07/2016 00:00
Bell vision;BELL;4,12912E+13;SAINT-NAZAIRE; 39 RUE DE LA FONDELINE  44600 SAINT -NAZAIRE   ;0;16/11/2012 00:00
BeMove;BEMO;5,12635E+13;Rennes; 23 RUE DU BIGNON  35135 CHANTEPIE   ;0;12/12/2017 00:00
Bercy consulting et associés;BECA;7,8881E+13;Fort-de-France;PLATEAU FOFO 26 RUE VINCENT PLACOLY  97233 SCHOELCHER   ;0;23/11/2016 00:00
Bercytel;BERC;4,22784E+13;Créteil; 46 RUE DE FLORE  94140 ALFORTVILLE   ;0;17/07/2014 00:00
Berry fibre optique;BEFO;8,23546E+13;Bourges; 6 RUE MAURICE ROY  18000 BOURGES   ;0;24/11/2016 00:00
Berry numérique;NU18;2,00041E+13;Orléans;HOTEL DU DEPARTEMENT PLACE MARCEL PLAISANT  18023 BOURGES  CEDEX ;0;13/01/2014 00:00
BERRY THD;BTHD;893273524;Bourges; 39 AVENUE JEAN JAURES  18100 VIERZON   ;0;18/03/2021 00:00
Bersam telephone;BERS;3,5072E+13;Avignon;ATELIER 14 - LOTISSEMENT BAIGNE PIEDS 185 RUE DES JONCS DES BOIS  84000 AVIGNON   ;0;06/06/2017 00:00
BERTREM ERIC;BEER;3,99501E+13;Saint Nazaire; 27 COISMEUX  44160 CROSSAC   ;0;19/08/2009 00:00
Best networks solutions;BNSO;8,3049E+13;Nice; 6 BIS AVENUE DURANTE  06000 NICE   ;0;27/06/2017 00:00
Best telecom et réseaux;BTER;4,84452E+13;Marseille;CHEMIN DE L'AUMONE VIEILLE-PARC ST LAM   13400 AUBAGNE   ;0;12/03/2019 00:00
Bet Shore;BTSH; ;Registre du Maroc 4263;CHEZ MARKETING CALL CENTER 98 AVENUE AMIR FAL OULD OUMEIR  10080 RABAT   MAROC;0;24/08/2021 00:00
BE-TAYE;BETA;8,80331E+13;EVRY; 49 SENTIER DE L ECHAUDE  91200 ATHIS MONS   ;0;09/03/2021 00:00
BeTech solution;BETE;8,07381E+13;Chartres; 8 RUE DE LA FORGE  28630 THIVARS   ;0;17/04/2015 00:00
BFC fibre;BFCF;8,24501E+13;Dijon; 7 RUE JOLIET  21000 DIJON   ;0;18/04/2018 00:00
Bharti airtel (France) SAS;BHAR;5,23035E+13;Nanterre; 88 T AVENUE DU GENERAL LECLERC  92100 BOULOGNE BILLANCOURT   ;0;27/07/2010 00:00
Bicomm;BIMM;8,08798E+13;Dax; 110 AVENUE DES RESINIERS  40150 SOORTS-HOSSEGOR   ;0;18/03/2018 00:00
BICS;BICS; ;BE0866977981; RUE J. LEBEAU 4  1000 BRUXELLES   BELGIQUE;1;18/03/2016 00:00
Bigdad Said;BIGD;5,13905E+13;Reims; 136 RUE DU LANDY  93400 SAINT OUEN   ;0;19/12/2018 00:00
BILLEREY FABIEN;BILL;4,41958E+13;Poitiers;TELEPORT 4 - IMMEUBLE ANTARES AVENUE THOMAS EDISON BP 70183 86962 FUTUROSCOPE  CEDEX ;0;17/04/2007 00:00
Billyz;BLYZ;7,92447E+13;Grasse; 300 ROUTE DES CRETES  06560 VALBONNE   ;0;02/08/2016 00:00
Bits brothers;BIBR;7,97692E+13;Paris; 53 RUE CLAUDE TERRASSE  75016 PARIS   ;1;11/06/2018 00:00
Biz'connect;BIZC;8,30658E+13;Nîmes; 48 BIS RUE HENRI REVOIL  30000 NIMES   ;0;04/01/2019 00:00
BJ informatique;BJIN;4,09114E+13;Lyon; 34 RUE JEAN PIERRE BREDY  69100 VILLEURBANNE   ;0;17/09/2020 00:00
BJS Performance;BJSP;7,9805E+13;Paris; 22 RUE VIOLET  75015 PARIS   ;0;29/01/2020 00:00
BJT Partners;BJTP;4,80234E+13;Paris; 26 RUE FRIANT  75014 PARIS   ;1;27/03/2006 00:00
BK telecom;BKTE;8,42673E+13;Epinal; 8 RUE DES GRAVIERES  88580 SAULCY-SUR-MEURTHE   ;0;25/01/2019 00:00
BLOIS SPECIALITES AUTO INDUSTRIE;BSAI;5,9612E+13;Blois; 42 RUE ANDRE BOULLE  41000 BLOIS   ;0;22/02/2010 00:00
Blue face Ltd;BLFA; ;385721 3840852/1; 10/11 EXCHANGE PLACE   IFSC DUBLIN 1   IRLANDE;0;12/06/2017 00:00
Blue jungle;BLJU;8,52546E+13;Strasbourg; 13 RUE DE LA DOUANE  67000 STRASBOURG   ;0;10/11/2020 00:00
Blue Networks Technologies;BLNT;5,09073E+13;Montpellier; 66 RUE AZALAIS D ALTIER  34080 MONTPELLIER   ;0;23/02/2010 00:00
Blue radar;BLRA;8,1853E+13;Niort; 503 RUE DU PUITS JAPIE  79410 ECHIRE   ;0;20/12/2016 00:00
Blue wire;BLWI;8,28704E+13;Metz; 17 RUE CLAUDE CHAPPE  57070 METZ   ;0;24/01/2019 00:00
Blue wireless (Europe) B.V.;BWEU; ;72713887; HENDRIK FIGEEWEG 5L  2031BJ HAARLEM   PAYS-BAS;0;11/11/2019 00:00
Bluecom;BLOM;4,09967E+13;Brest; 305 RUE JURIEN DE LA GRAVIERE  29200 BREST   ;0;29/07/2016 00:00
BLUEGIX;BLUG;3,97801E+13;Créteil;IMMEUBLE COACH 8 T PLACE HENRI D ASTIER  94227 CHARENTON LE PONT  CEDEX ;0;07/04/2006 00:00
Blue-Infra;BLUE;7,97914E+13;Le Mans; 163 RUE DU CANAL  27500 PONT-AUDEMER   ;0;04/11/2013 00:00
BOLLORE TELECOM;BOLL;4,87529E+13;Nanterre; 26 RUE DE BERRI  75008 PARIS   ;0;28/07/2006 00:00
Bordeaux métropole;BOME;2,433E+13;Bordeaux;ESPLANADE CHARLES DE GAULLE   33076 BORDEAUX  CEDEX ;0;10/03/2015 00:00
Boss informatique S.A.M.;BSAM; ;Répertoire du Commerce et de l'Industrie de la Principauté de Monaco  N° 09S04978;LE SUFFREN 7 RUE SUFFREN REYMOND  98000 MONACO   MONACO;0;17/07/2017 00:00
BOUFRIOUA Renaud;BOUF;877984831;Bordeaux; 2 PLACE GILBERT BECAUD  86310 LA BUSSIERE   ;0;27/01/2020 00:00
BOUNOUA KHERDINE;BOUN;5,34887E+13; ; 128 AVENUE GENERAL DE GAULLE  92200 NEUILLY SUR SEINE   ;0;27/03/2013 00:00
BOURDELAT Julien;BOUR;8,37694E+13; ; 3 RUE DES LIMONS  51530 BRUGNY-VAUDANCOURT   ;0;16/12/2020 00:00
Bourgogne Franche Comté numérique;BFCN;8,18263E+13;Dijon; 53BIS RUE DE LA PREFECTURE  21000 DIJON   ;0;06/06/2018 00:00
Bouteiller Mehdi;BOUT;7,89069E+13;RSI Languedoc-Roussillon; DOMAINE LA GARENNE  34650 DIO ET VALQUIERES   ;0;01/04/2014 00:00
Bouygues E&S FM France;EXMM;3,81762E+13;VERSAILLES; 19 RUE STEPHENSON  78180 MONTIGNY-LE-BRETONNEUX   ;0;19/07/2012 00:00
Bouygues Telecom;BOUY;3,97481E+13;Paris;LE TECHNOPÔLE 13-15 AVENUE DU MARÉCHAL JUIN  92360 MEUDON  CEDEX ;1;08/12/1994 00:00
Bouygues Telecom Business - Distribution;NRJ;4,21714E+13;Paris; 12 RUE GAILLON  75107 PARIS  CEDEX 02 ;1;11/02/2005 00:00
Box4b;BOX4;8,17501E+13;Lille Métropole; 104 RUE NATIONALE  59000 LILLE   ;0;17/07/2020 00:00
Bozon image et son;BISN;4,79252E+13;Fréjus;RESIDENCE DU GRAND PONT 501 AVENUE DE L HELIPORT  83310 GRIMAUD   ;0;18/02/2015 00:00
Breeze Networks Limited;BRZN; ;UK 10143873;LONDON ROAD 41 BREEZE NETWORKS CASTLE COURT  RH2 9RJ REIGATE SURREY  TERRITOIRES DU ROYAUME-UNI AUX ANTILLE;0;21/09/2018 00:00
Breizh solutions;BRSO;538517517;Vannes;BAT J ZONE DE KERLUHERNE 1 RUE MARIE CURIE  56890 PLESCOP   ;0;03/07/2015 00:00
Breizh voip;BRVO;8,2104E+13;Nantes; 4 RUE DESCARTES  29480 LE RELECQ KERHUON   ;0;28/03/2017 00:00
Breizhtux;BREI;5,02068E+13;Saint Brieuc;C/O QUENTIN DUMONT 13 RUE PER JAKEZ HÉLIAS  22000 SAINT BRIEUC   ;0;26/08/2010 00:00
Bresse telecom;BRSS;837799089;Bourg-en-Bresse; 50 RUE GUSTAVE EIFFEL  01630 SAINT GENIS POUILLY   ;0;20/02/2019 00:00
Bretagne Telecom;BRET;4,83401E+13;Rennes;ZI DE BELLEVUE RUE BLAISE PASCAL  35220 CHATEAUBOURG   ;1;03/04/2006 00:00
BRIARD Justin;JUBR; ;Personne physique; 16 RUE DU DESSOUS DES BERGES  75013 PARIS   ;0;29/10/2017 00:00
Broadband Hosting BV;BRBV; ;27197308 Pays-Bas;LAAN COPES VAN CATTENBURCH 73    2585 EW LA HAYE   PAYS-BAS;0;01/06/2015 00:00
BROADSOFT Germany GmbH;BRGG; ;HRB80257 - Düsseldorf; LOTHRINGER STR 56  50677 KÖLN   ALLEMAGNE;0;01/04/2021 00:00
BROKER TELECOM;BROK;5,23277E+13;BORDEAUX;PARC INNOLIN 3 RUE DU GOLF  33700 MERIGNAC   ;0;16/03/2012 00:00
Brokers network;BRNE;8,82969E+13;Paris; 37 RUE DES MATHURINS  75008 PARIS   ;0;07/10/2020 00:00
Bryk Emmanuel;WEER;5,04795E+13;GRENOBLE; 189 ROUTE DE SERT GONTIER  38350 NANTES EN RATIER   ;0;19/11/2015 00:00
BS IP;BSIP;5,28677E+13;Salon-de-Provence; 439 ROUTE DE LA SEDS  13127 VITROLLES   ;0;13/12/2017 00:00
BSC system;BSCS;8,0901E+13;Gonesse; 17 RUE GAY LUSSAC  95500 GONESSE   ;0;17/06/2021 00:00
BSG Estonia OU;BSGE; ;Tallinn, Estonia. Register code 12974765;HARJU MAAKOND 25-47 PAE  11414 TALLINN   ESTONIE;0;27/07/2021 00:00
BSO NETWORK SOLUTIONS;BSOC;4,52457E+13;Paris;CHALLENGE 92 81 AVENUE FRANCOIS ARAGO  92000 NANTERRE   ;0;27/09/2006 00:00
BT France;BTSI;7,02032E+13;Nanterre;TOUR ARIANE 5 PLACE DE LA PYRAMIDE BP 22 92088 PARIS LA DEFENSE  CEDEX ;1;20/11/2006 00:00
Buffello Alain;BUFFE;8,07461E+13; ; 19 GRAND RUE  55220 LES SOUHESMES-RAMPONT   ;0;08/11/2014 00:00
Building télécom;BLDG;897601399;Montpellier; 1150 RUE DE CENTRAYRARGUES  34070 MONTPELLIER   ;0;02/04/2021 00:00
Bull SAS;BLLS;6,42059E+13;Versailles; 68 AV JEAN JAURES  78340 LES CLAYES-SOUS-BOIS   ;0;10/11/2021 00:00
Bureaux evolution;BUEV;4,14949E+13;Foix;ZA GABRIELAT RUE DU CRIEU  09100 PAMIERS   ;0;27/02/2020 00:00
Burologic;BU14;4,81184E+13;Caen;ZAC LONG COURS 9 LONGUE VUE DES ASTRONOMES  14111 LOUVIGNY CALVADOS  ;0;26/03/2020 00:00
Burologic 49;BU49;4,29993E+13;Angers; 8 PLACE MENDES FRANCE  49100 ANGERS   ;0;27/03/2020 00:00
Burologic 72;BU72;8,78557E+13;Le Mans; 167 RUE DE BEAUGE  72000 LE MANS   ;0;27/03/2020 00:00
Burologic 76;BU76;7,95351E+13;Rouen; 1 ROND POINT DES BRUYERES  76300 SOTTEVILLE LES ROUEN   ;0;27/03/2020 00:00
Burologic 85;BU85;3,788E+13;La Roche-sur-Yon; RUE JACQUES YVES COUSTEAU  85000 LA ROCHE SUR YON   ;0;27/03/2020 00:00
BUROX;BURO;8,14259E+13;NANTERRE; 37 RUE DES CAILLOUX  92110 CLICHY   ;0;07/04/2021 00:00
BUSINESS & DECISION INTERACTIVE EOLAS;BUSI;3,82199E+13;Grenoble; 8 RUE VOLTAIRE  38000 GRENOBLE   ;0;20/05/2009 00:00
Business Communication France;BUCF;8,89903E+13;Mulhouse; 34 RUE FREDDY WILLENBUCHER  68200 MULHOUSE   ;0;28/01/2021 00:00
Business service France;BSSF;8,31449E+13;Paris; 4 RUE DE L ALBONI  75016 PARIS   ;0;28/04/2021 00:00
Business telecom;BUTE;7,51647E+13;Perpignan; 5 RUE DU MOULINAS  66330 CABESTANY   ;0;05/03/2020 00:00
Business télécommunications services;BUTS;8,38919E+13;Paris; 101 BOULEVARD PONIATOWSKI  75012 PARIS   ;0;28/05/2018 00:00
BusinessIn.fr;BSNS;8,2352E+13;Créteil; 3 RUE DE L EGALITE  94270 LE KREMLIN BICETRE   ;0;20/09/2017 00:00
By micro;BYMI;3,32105E+13;Romans; 25-27 BOULEVARD DE LA LIBERATION  26100 ROMANS-SUR-ISERE   ;0;17/01/2019 00:00
BYO NETWORKS;BYON;5,24788E+13;EVRY; 86 RUE DE PARIS  91400 ORSAY   ;0;20/11/2012 00:00
Byphone Ltd;BPHN; ;9348522;INGLES MANOR CASTLE HILL AVENUE  CT20 2RD FOLKESTONE   ROYAUME-UNI;0;25/01/2018 00:00
C ISI;CISI;4,842E+13;Mulhouse; 4 RUE DU GENERAL DE GAULLE  68800 THANN   ;0;28/09/2015 00:00
C&C medias telecom;CCMT;8,32308E+13;CASTRES; 577 AVENUE DES TERRES NOIRES  81370 SAINT SULPICE LA POINTE   ;0;07/11/2019 00:00
C.G.I.S (CONSEILS GESTION INFORMATIQUE SERVICES);CGIS;3,43925E+13; ; 24 AVENUE JOANNES MASSET  69009 LYON   ;0;23/02/2009 00:00
C@P Connexion;DEDI;4,83688E+13;Nanterre; 40 QUAI DU POINT DU JOUR  92100 BOULOGNE BILLANCOURT   ;0;16/08/2005 00:00
C2IP;C2IP;4,49601E+13;Chalon sur Saône; 4 RUE DES FOSSES  71390 BUXY   ;0;07/10/2009 00:00
CABALLERO SYLVAIN;CABA;5,17757E+13;ROUEN;APP. 16 29 RUE ARTHUR RIMBAUD  76120 LE GRAND-QUEVILLY   ;0;21/09/2012 00:00
CABINET CONSEIL EN INFORMATIQUE FALGON;FALG;3,22271E+13;Beziers; 1 RUE GIACOMO MEYERBEER  34500 BEZIERS   ;0;13/05/2011 00:00
Cachan réseaux à Normale sup (CRANS);CRAN;452661531;W943000195 Sous-préfecture Hay-Les-Roses; 61 AVENUE DU PRESIDENT WILSON  94230 CACHAN   ;0;16/11/2014 00:00
Caciis;CACI;4,94886E+13;Paris; 29 RUE TAITBOUT  75009 PARIS   ;0;07/10/2008 00:00
Caen.com;CAEN;4,78688E+13;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;0;27/01/2009 00:00
CAFAI - Champagne Ardenne fournisseur associatif d'accès à internet;CAFA;7,90714E+13;W513002966; 122 BIS RUE DU BARBATRE  51100 REIMS   ;0;12/02/2013 00:00
Calade technologies;CALA;4,78716E+13;Marseille;POLE MEDIA 37 RUE GUIBAL  13003 MARSEILLE   ;0;27/08/2014 00:00
Call 4 you;CLLY;8,45014E+13;BORDEAUX;CS80112 32 ALLEE BOUTAUT  33070 BORDEAUX   ;0;07/05/2019 00:00
Call factory Ltd;CFRY; ;Registre de Sofia 201938261;2 PRESPA STREET    1000 SOFIA   BULGARIE;0;14/01/2020 00:00
Call power;CALP;8,31434E+13;Epinal; 33 RUE DE LA CORVEE  88100 SAINT-DIE-DES-VOSGES   ;1;13/01/2018 00:00
CallServices Ltd;CLSV; ;9778705 au Registre des sociétés d'Angleterre et du Pays de Galles; 109 VERNON HOUSE FRIAR LANE  NG1 6DQ NOTTINGHAM   ROYAUME-UNI;0;29/03/2016 00:00
Callvalue;AVMM;4,9063E+13;LYON;IMMEUBLE LE RIVER SIDE 45 AVENUE LECLERC  69007 LYON   ;0;01/09/2006 00:00
CAMERA-CONTACT;CACO;5,12339E+13;Gueret; 9 AVENUE CHARLES DE GAULLE  23006 GUERET  CEDEX ;0;24/02/2010 00:00
Camping caravaning les dunes;CCLD;3,20391E+13;La Roche-sur-Yon; 50 AVENUE DES DUNES  85470 BRETIGNOLLES-SUR-MER   ;0;13/03/2017 00:00
Canal+ Telecom;MIAS;3,51556E+13;Pointe à Pitre; ZAC DE MOUDONG CENTRE  97122 BAIE-MAHAULT   ;1;21/01/2003 00:00
Cantoo;CANT; ;16063149;5-11 LOOTSA TN   11415 TALLIN   ESTONIE;0;08/10/2020 00:00
Cap antigone;CAGO;3,89335E+13;Nanterre;BATIMENT C 22 RUE LAVOISIER  92000 NANTERRE   ;0;03/10/2016 00:00
Cap communication;CPCN;4,34756E+13;Strasbourg; 4 RUE DU GENERAL FRERE  67000 STRASBOURG   ;0;28/03/2018 00:00
CAP TELECOM;CAPT;4,38632E+13;Marseille;LE CARRE SAUMATY 2 ALLEE SACOMAN  13016 MARSEILLE   ;0;12/06/2006 00:00
Capacom;CPOM;5,3918E+13;Paris; 41 BOULEVARD DES CAPUCINES  75002 PARIS   ;1;26/01/2012 00:00
CAPAIX CONNECTIC;CAPA;5,09047E+13;Aix; 163 QUAI DU DOCTEUR DERVAUX  92601 ASNIÈRES-SUR-SEINE  CEDEX ;0;05/01/2009 00:00
CAPANET;CPNT;8,91218E+13;Saint-Denis;SAINTE-CLOTILDE 47 RUE HENRI CORNU  97490 SAINT-DENIS   ;0;14/02/2021 00:00
Capecom;CAPE;5,04297E+13;Metz; 27 RUE DES GARENNES  57155 MARLY   ;0;16/01/2017 00:00
CAPINFO;CAPI;4,11908E+13;Strasbourg; 2 RUE ETTORE BUGATTI  67201 ECKBOLSHEIM   ;0;29/01/2016 00:00
Capitaine;CPIN;8,39083E+13;Meaux; 61 RUE DE LAGNY  77600 JOSSIGNY   ;0;14/09/2020 00:00
Capital bureautique;CABU;7,51047E+13;Bobigny; 17 RUE DES LILAS  93100 MONTREUIL   ;0;11/02/2020 00:00
CAPMEDIA;CAPM;5,03476E+13;NIORT; 38 AVENUE DE LATTRE DE TASSIGNY  79000 NIORT   ;0;28/04/2021 00:00
CAPS TRES HAUT DEBIT;CAPS;5,29193E+13;EVRY;PARC ORSAY UNIVERSITE 2 RUE JEAN ROSTAND  91893 ORSAY  CEDEX ;0;22/06/2011 00:00
Carbodebit;CABO; ;207825 ASSO Castres;MAIRIE LA BAUTIE  81570 CARBES   ;0;05/06/2008 00:00
CARIB SAT;CARI;7,93231E+13;POINTE A PITRE;IMMEUBLE SCI LE ROCHER - ZI DE JARRY 1406 RUE HENRI BECQUEREL  97122 BAIE-MAHAULT   ;0;04/06/2013 00:00
CARIBBEAN TELECOM MARTINIQUE;CARM;4,42854E+13;Fort de France; 23 RUE DU FOUR A CHAUX  97232 LE LAMENTIN   ;0;01/04/2009 00:00
Carpe diem;CADI;4,0303E+13;Lyon;LE NORLY 1 - BATIMENT A2 42 CHEMIN DU MOULIN CARRON  69130 ECULLY   ;0;23/01/2019 00:00
CARREFOUR ORGANISATION ET SYSTEMES GROUPE;CAFO;4,40091E+13;NANTERRE; 33 AVENUE EMILE ZOLA  92100 BOULOGNE BILLANCOURT   ;0;10/04/2012 00:00
CARRIBEAN CABLE COMMUNICATIONS (ANGUILLA) LIMITED;CARC;5,054E+13; ;CABINET DE MYRNA R. WALWYN WALL BLAKE THE VALLEY 99132 ANGUILLE   ROYAUME-UNI;0;23/09/2008 00:00
Cartridg'eco;CRTD;4,934E+13;BOBIGNY; 35 AVENUE DUMONT  93600 AULNAY SOUS BOIS   ;0;07/09/2021 00:00
Cassidian cybersecurity SAS;CASS;5,23941E+13;VERSAILLES;ZAC DE LA CLEF SAINT PIERRE 1 BOULEVARD JEAN MOULIN  78990 ELANCOURT   ;0;15/10/2012 00:00
Castle IT;CAIT;8,18095E+13;Tours; 17 RUE DES GRANGES GALANDS  37550 SAINT AVERTIN   ;0;16/02/2016 00:00
CAT;AKEO;4,01924E+13;EVREUX; 66 GRANDE RUE  27940 PORT-MORT   ;1;17/10/2013 00:00
Caux telecom;CAUX;8,18107E+13;Rouen; 955 RUE DES RENARDS  76190 SAINTE-MARIE-DES-CHAMPS   ;0;14/04/2017 00:00
CB SYSTEM;CBSY;4,14346E+13;Cahors; RUE SAINT GERY  46000 CAHORS   ;0;14/12/2010 00:00
CB Tel;CBTE;8,32849E+13;Dijon; 20 ROUTE DE BEAUNE  21340 LA ROCHEPOT   ;0;19/04/2018 00:00
CC MEDIA;CCMD;3,94623E+13;Marseille; 25 RUE SAINTE  13001 MARSEILLE   ;0;19/05/2005 00:00
CCI de région Normandie;CCID;1,30022E+13; N° D45108328156 Centre-Val de Loire ; 1 RUE RENE CASSIN  14280 SAINT CONTEST   ;0;24/03/2017 00:00
Ccmcom;CCMC;7,93907E+13;Versailles;6 RESIDENCE VAL EGLANTINE 53 ROUTE DE CHATOU  78420 CARRIERES-SUR-SEINE   ;0;21/09/2020 00:00
Cconect;CCET;8,18316E+13;Brest; 3 QUATER COZ LIORZOU  29800 LA FOREST LANDERNEAU   ;0;12/02/2019 00:00
CDA;CDAC;7,8927E+13;Marseille; 12 BOULEVARD D'ATHENES  13001 MARSEILLE   ;1;05/05/2017 00:00
CDK global (France) SAS;CDKG;5,7216E+13;Paris;LE VISALTO 8 BOULEVARD D'INDOCHINE  75019 PARIS   ;0;16/04/2018 00:00
C-doki France;CDOK;8,20581E+13;Meaux; 4 BOULEVARD MICHAEL FARADAY  77716 MARNE LA VALLEE  CEDEX 4 ;0;01/07/2016 00:00
Cd-sys;CDSY;4,23078E+13;ORLEANS; 24 RUE BERNARD PALISSY 45800 45800 ST JEAN DE BRAYE   ;0;28/02/2011 00:00
CDX Telecom;CDXT;7,97828E+13;Meaux; 1 RUE ALBERT EINSTEIN  77420 CHAMPS SUR MARNE   ;0;14/05/2014 00:00
Cedetel;CEDE;8,15088E+13;Paris; 10 RUE PERGOLESE  75116 PARIS   ;0;18/04/2016 00:00
Ceffage;CEFF;8,82576E+13;Bobigny; 5 RUE LEON NOZAL  93210 LA PLAINE SAINT-DENIS   ;0;15/07/2020 00:00
Cegedim IT;CGIT;7,90173E+13;Nanterre; 137 RUE D AGUESSEAU  92100 BOULOGNE BILLANCOURT   ;0;05/02/2015 00:00
Cegelec Ouest telecoms;CEOT;5,37915E+13;Rennes; 117 AVENUE GROS MALHON  35000 RENNES   ;0;05/07/2018 00:00
CEGELEC Perpignan;CEGE;5,37916E+13;Perpignan; 650 RUE JEAN BAPTISTE BIOT  66000 PERPIGNAN   ;0;15/01/2021 00:00
CEI - Catalogne environnement informatique;CEIC;4,14285E+13;Perpignan;ZONE LE MOLINAS 19 AVENUE DU 19 MARS 1962  66330 CABESTANY   ;0;23/12/2015 00:00
CELEA CONSULTING;CELE;5,02902E+13;Paris; 149 AVENUE DU MAINE  75014 PARIS   ;0;29/11/2010 00:00
Celeonet;CLEO;4,50735E+13;Créteil; 70 RUE BERTHIE ALBRECHT  94400 VITRY SUR SEINE   ;1;17/11/2020 00:00
Celeste;ADSL;4,39906E+13;Meaux; 20 RUE ALBERT EINSTEIN  77420 CHAMPS SUR MARNE   ;1;08/03/2006 00:00
Cellhire (France);CEHI;4,15292E+13;Nanterre;LE CAPITAINE GUYNEMER 53 RUE DU CAPITAINE GUYNEMER  92400 COURBEVOIE   ;1;15/11/2017 00:00
